title,date,tier
"Cut over to new server instance, old instance retired",6/14/2020,1
Got development environment set up again,5/31/2020,1
First significant look at CHRONLINES competitors,12/1/2015,1
[List Events Below] button on timeline page,11/28/2015,1
Email confirmations,11/26/2015,1
References,11/25/2015,1
Permissions,11/18/2015,1
Update and Delete buttons in event popup bubble,11/4/2015,1
Update events on timeline when tags checked / unchecked,11/3/2015,1
Added help buttons and descriptions for fields,10/26/2015,1
Added detailed timeline description,10/25/2015,1
Default Today added,10/24/2015,1
"Added checkbox for timeline default date of ""Today""",10/24/2015,1
First Help page added,10/22/2015,1
Tag multiple events at once,10/20/2015,1
Functionality to set tags on multiple events at once,10/20/2015,1
Put CHRONLINES on the Internet,10/17/2015,1
"Added ""About"" page",10/17/2015,1
"Feedback ""bumps""",10/17/2015,1
Feedback functionality,10/14/2015,1
"Added red ""Today"" dot on timelines",10/8/2015,1
Made to show current timeline name in header title,10/8/2015,1
Bought chronlines.com and cronlines.com,10/7/2015,1
Tag names hyperlinked,9/26/2015,1
[Add Another Event] button,9/25/2015,1
Timeline list page,9/25/2015,1
Specifying timeline height,9/24/2015,1
Timeline period selector,9/24/2015,1
Filtering by tags,9/10/2015,1
Event list page,9/8/2015,1
Set band parms using db data,9/1/2015,1
Timeline update page,9/1/2015,1
Timeline selection list,8/29/2015,1
Page to add new timeline,8/29/2015,1
Saved dates to database,8/28/2015,1
Installed PHP / MySQL,8/18/2015,1
