timeline,date,end_date,title,tier
Glenn,7/18/2026,,Day of Data 2026,1
Glenn,7/8/2026,7/15/2026,Jimmy and girls trip,1
Glenn,6/30/2026,,Last mixed doubles tennis match (Angel),1
Glenn,6/13/2026,,40-year BRHS reunion,1
Glenn,6/5/2026,,Carowinds,1
Glenn,6/3/2026,6/10/2026,SC Trip,1
Glenn,5/26/2026,,First mixed doubles league match,1
Glenn,5/26/2026,,Posted Lubey interview on LinkedIn,1
Glenn,5/12/2026,,Posted Doug Lubey interview,1
Glenn,5/2/2026,,Darby's celebration of life at Vineyard,1
Glenn,5/2/2026,,Recorded Doug Lubey interview,1
Glenn,5/1/2026,5/3/2026,L to Galveston for Flamingo Parade,1
Glenn,4/29/2026,5/1/2026,YPO retreat in Chicago,1
Glenn,4/29/2026,,Dad went home under hospice care,1
Glenn,4/17/2026,4/19/2026,"Texas trip: Michele, Dad in hospital",1
Glenn,4/8/2026,,Posted Paul Brown interview,1
Glenn,4/7/2026,,"Global Wildlife Center with Penny, Presley, and kids",1
Glenn,4/6/2026,4/11/2026,Presley and kids visit,1
Glenn,3/28/2026,,Johnny McCann died,1
Glenn,3/28/2026,,Journey concert in New Orleans,1
Glenn,3/27/2026,,Fork Cancer event at The Station,1
Glenn,3/24/2026,,Recorded Paul Brown interview,1
Glenn,3/19/2026,,Switch from Cox to Rev Internet for the house,1
Glenn,2/16/2026,2/23/2026,Penny Visit,1
Glenn,1/13/2026,,Scott Adams died,1
Glenn,1/7/2026,1/11/2026,WW Cancun Trip,1
Glenn,11/30/2025,,Friendsgiving 2025,1
Glenn,11/12/2025,,Last penny minted,1
Glenn,10/20/2025,,AWS outage,1
Glenn,10/18/2025,,Halloween parade,1
Glenn,10/17/2025,,Halloween Ball,1
Glenn,10/14/2025,,Gaza ceasefire deal signed by Israel and Hamas,1
Glenn,9/21/2025,,Charlie Kirk memorial service in Arizona,1
Glenn,9/19/2025,9/23/2025,Lauren in Paris,1
Glenn,9/12/2025,9/14/2025,Beach trip Patty's condo,1
Glenn,9/10/2025,,Charlie Kirk assassinated,1
Glenn,9/5/2025,,Bought the 2022 Subaru Forester,1
Glenn,8/26/2025,,Bill Settoon died,1
Glenn,7/30/2025,,Riven born,1
Glenn,7/12/2025,7/20/2025,SC trip 2025,1
Glenn,6/23/2025,6/26/2025,Art Camp 2025,1
Glenn,5/27/2025,,"Lunch with Patty, discussed AI business",1
Glenn,5/26/2025,,Laura Kearns mom died,1
Glenn,5/24/2025,,Kids over to the Hereford house for the first time,1
Glenn,5/22/2025,5/26/2025,L Alabama trip with girlfriends,1
Glenn,5/19/2025,,Joe Biden and Scott Adams announced they have advanced state prostate cancer,1
Glenn,5/18/2025,,Jake McCann's high school graduation,1
Glenn,5/17/2025,,Announcement of Cubieverse ending,1
Glenn,5/15/2025,5/22/2025,Penny visit,1
Glenn,5/14/2025,,Close on Barremore house,1
Glenn,5/7/2025,,Started playing Forgotten Runiverse,1
Glenn,5/2/2025,5/4/2025,"Houston trip: Katy Airbnb, Levets, Michele, Barzillas, Campos's",1
Glenn,4/19/2025,,Matt's gang hit by rival gang,1
Glenn,4/19/2025,4/26/2025,Penny Easter break visit,1
Glenn,4/4/2025,4/11/2025,Diarrhea week,1
Glenn,3/24/2025,,Depressed morning,1
Glenn,3/7/2025,3/12/2025,Penny here helping us move in,1
Glenn,3/6/2025,,Moved into Hereford house,1
